Date,NetPnL,TradesOpened
2020-10-05,519.92,4
2020-10-06,1001.02,4
2020-10-07,1081.59,2
2020-10-08,53.08,5
2020-10-09,-462.16,3
2020-10-12,50.80,2
2020-10-13,-32.53,2
2020-10-14,-486.93,4
2020-10-15,1075.38,1
2020-10-20,-515.35,3
2020-10-21,98.66,3
2020-10-22,-56.95,3
2020-10-23,686.23,5
2020-10-26,-1741.67,6
2020-10-27,1045.41,1
2020-10-28,376.77,2
2020-10-29,843.77,4
2020-10-30,121.37,1
2020-11-02,-489.36,1
2020-11-03,482.72,2
2020-11-04,313.09,1
2020-11-05,726.38,2
2020-11-09,-207.84,2
2020-11-10,33.83,3
2020-11-11,290.18,1
2020-11-12,-84.17,3
2020-11-13,-134.73,3
2020-11-16,-63.49,2
2020-11-17,-77.14,1
2020-11-18,-231.92,1
2020-11-19,-758.67,7
2020-11-20,-58.63,2
2020-11-23,757.66,3
2020-11-24,-378.74,2
2020-11-25,-139.43,1
2020-11-26,189.57,2
2020-11-27,1166.74,2
2020-11-30,-256.31,3
2020-12-02,-314.73,2
2020-12-03,121.69,3
2020-12-04,-795.24,4
2020-12-07,-187.82,4
2020-12-08,-79.56,1
2020-12-09,186.71,4
2020-12-10,39.62,3
2020-12-11,786.01,6
2020-12-14,-373.97,2
2020-12-15,-307.69,4
2020-12-16,-367.11,2
2020-12-17,-137.46,1
2020-12-18,231.62,2
2020-12-21,161.01,2
2020-12-22,-297.95,2
2020-12-24,171.60,3
2020-12-29,-529.28,3
2020-12-30,-398.85,2
2020-12-31,-395.08,4
2021-01-04,-35.48,1
2021-01-05,810.41,5
2021-01-06,-163.02,3
2021-01-07,-126.71,1
2021-01-08,-295.82,2
2021-01-11,-929.24,4
2021-01-12,30.92,1
2021-01-13,-122.93,4
2021-01-14,815.07,4
2021-01-15,470.38,2
2021-01-18,64.53,1
2021-01-19,867.58,3
2021-01-20,-59.13,1
2021-01-21,271.09,5
2021-01-22,768.93,2
2021-01-25,-274.67,5
2021-01-26,12.04,3
2021-01-27,443.48,3
2021-01-28,-383.63,3
2021-01-29,398.46,1
2021-02-01,84.37,2
2021-02-02,120.64,4
2021-02-03,-155.50,2
2021-02-04,-92.42,1
2021-02-05,-167.00,1
2021-02-08,-63.43,1
2021-02-09,-122.83,4
2021-02-10,-120.50,4
2021-02-11,-107.65,2
2021-02-16,-239.04,2
2021-02-17,-89.28,4
2021-02-18,1692.59,3
2021-02-19,180.57,3
2021-02-22,-641.49,2
2021-02-23,-232.76,3
2021-02-24,455.46,1
2021-02-25,288.10,2
2021-03-01,-38.28,1
2021-03-03,388.34,2
2021-03-04,-536.18,2
2021-03-05,-47.64,3
2021-03-08,472.46,5
2021-03-09,558.25,3
2021-03-10,313.68,3
2021-03-11,-128.18,1
2021-03-12,58.06,3
2021-03-15,425.28,1
2021-03-16,-393.52,3
2021-03-18,-349.44,2
2021-03-19,-279.12,2
2021-03-22,-726.34,3
2021-03-23,-388.34,2
2021-03-24,-637.35,4
2021-03-25,381.77,1
2021-03-26,865.76,4
2021-03-29,334.56,6
2021-03-30,50.45,1
2021-03-31,-87.11,3
2021-04-01,-57.31,3
2021-04-02,9.07,1
2021-04-05,-432.56,6
2021-04-06,347.96,2
2021-04-07,-851.29,4
2021-04-09,333.12,3
2021-04-12,-518.28,2
2021-04-13,-134.75,1
2021-04-14,149.61,3
2021-04-15,-61.80,2
2021-04-16,96.89,2
2021-04-19,750.16,2
2021-04-20,541.43,3
2021-04-21,513.75,4
2021-04-22,308.89,4
2021-04-23,-150.71,1
2021-04-27,-186.66,1
2021-04-28,-147.35,2
2021-04-30,442.30,1
2021-05-03,138.71,4
2021-05-04,466.58,3
2021-05-05,156.92,4
2021-05-06,850.06,2
2021-05-07,-276.93,1
2021-05-10,706.42,4
2021-05-13,146.43,1
2021-05-14,-316.09,2
2021-05-17,258.15,3
2021-05-18,149.91,3
2021-05-19,148.40,3
2021-05-20,149.11,2
2021-05-24,-276.71,4
2021-05-25,341.41,2
2021-05-26,221.53,1
2021-05-27,-101.68,2
2021-05-28,-16.90,3
2021-05-31,-93.64,1
2021-06-01,-214.31,3
2021-06-03,271.00,1
