"Label","Score","Symbol","TF","Strategy","RunId","Reason","Trades","ExpectancyR","DrawdownPct","Consistency","VersionKind"
"macd-momentum/USDCAD/H1",,"USDCAD","H1","macd-momentum","57924771","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"macd-momentum/USDCAD/H4","54.6","USDCAD","H4","macd-momentum","5291a49f",,"24","-0.11712067006496647","0.0223172739840728","42.857142857142854","sv1-partial"
"macd-momentum/USDCHF/H1","61.2","USDCHF","H1","macd-momentum","097982f2",,"21","0.07561323822831828","0.00736520149995637","50","sv1-partial"
"macd-momentum/USDCHF/H4",,"USDCHF","H4","macd-momentum","d0ec3937","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"macd-momentum/USDJPY/H1",,"USDJPY","H1","macd-momentum","382b1d6a","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"macd-momentum/USDJPY/H4",,"USDJPY","H4","macd-momentum","cda11a20","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"macd-momentum/XAGUSD/H1","80","XAGUSD","H1","macd-momentum","b9d4766e",,"92","0.35243771796946355","0.0363227962470394","45.45454545454545","sv1-partial"
"macd-momentum/XAGUSD/H4",,"XAGUSD","H4","macd-momentum","e6ef44af","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"macd-momentum/XAUUSD/H1",,"XAUUSD","H1","macd-momentum","5cf9d21d","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"macd-momentum/XAUUSD/H4",,"XAUUSD","H4","macd-momentum","0e25886c","trades=4 below floor 20 (D3)","4","0","0","0","sv1-null"
"mean-reversion/AUDUSD/H1","96.1","AUDUSD","H1","mean-reversion","6a8b6459",,"33","0.6933420760622264","0.000901721165040999","77.77777777777779","sv1-partial"
"mean-reversion/AUDUSD/H4",,"AUDUSD","H4","mean-reversion","57668c86","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"mean-reversion/BTCUSD/H1","56.9","BTCUSD","H1","mean-reversion","d8a2eb55",,"42","-0.08649599337650861","0.0222291358489595","55.55555555555556","sv1-partial"
"mean-reversion/BTCUSD/H4",,"BTCUSD","H4","mean-reversion","2942a94c","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"mean-reversion/ETHUSD/H1",,"ETHUSD","H1","mean-reversion","e3db1f17","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"mean-reversion/ETHUSD/H4",,"ETHUSD","H4","mean-reversion","ef153e60","trades=15 below floor 20 (D3)","15","0","0","0","sv1-null"
"mean-reversion/EURGBP/H1","53.7","EURGBP","H1","mean-reversion","c675b93b",,"21","-0.08183758974431561","0.0166785692446556","37.5","sv1-partial"
"mean-reversion/EURGBP/H4",,"EURGBP","H4","mean-reversion","e56d4282","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"mean-reversion/EURJPY/H1","62.7","EURJPY","H1","mean-reversion","f8d70876",,"32","0.06510673051052802","0.0046437369341675","62.5","sv1-partial"
"mean-reversion/EURJPY/H4",,"EURJPY","H4","mean-reversion","5f6b8aa6","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"mean-reversion/EURUSD/H1",,"EURUSD","H1","mean-reversion","3cc4c03d","trades=8 below floor 20 (D3)","8","0","0","0","sv1-null"
"mean-reversion/EURUSD/H4",,"EURUSD","H4","mean-reversion","d87a872a","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"mean-reversion/GBPJPY/H1","90.1","GBPJPY","H1","mean-reversion","0157f3b4",,"22","0.46675013120030795","0.000930619423065697","57.14285714285714","sv1-partial"
"mean-reversion/GBPJPY/H4",,"GBPJPY","H4","mean-reversion","82c44dce","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"mean-reversion/GBPUSD/H1","96.5","GBPUSD","H1","mean-reversion","87cf92c4",,"32","0.5192113503648585","0.00281607352080874","80","sv1-partial"
"mean-reversion/GBPUSD/H4","77.1","GBPUSD","H4","mean-reversion","c4c3e584",,"21","0.24654502974202475","0.0148661235034276","71.42857142857143","sv1-partial"
"mean-reversion/NZDUSD/H1",,"NZDUSD","H1","mean-reversion","2cf581ba","trades=16 below floor 20 (D3)","16","0","0","0","sv1-null"
"mean-reversion/NZDUSD/H4",,"NZDUSD","H4","mean-reversion","9843ab04","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"mean-reversion/USDCAD/H1",,"USDCAD","H1","mean-reversion","6a610681","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"mean-reversion/USDCAD/H4",,"USDCAD","H4","mean-reversion","f80158bb","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"mean-reversion/USDCHF/H1","56.9","USDCHF","H1","mean-reversion","18621a31",,"28","0.05657493210926205","0.0139963001711988","33.33333333333333","sv1-partial"
"mean-reversion/USDCHF/H4",,"USDCHF","H4","mean-reversion","7b2295bf","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"mean-reversion/USDJPY/H1","59.8","USDJPY","H1","mean-reversion","c14cf979",,"29","0.09695086218427514","0.0185721542827547","33.33333333333333","sv1-partial"
"mean-reversion/USDJPY/H4",,"USDJPY","H4","mean-reversion","d5168aed","trades=19 below floor 20 (D3)","19","0","0","0","sv1-null"
"mean-reversion/XAGUSD/H1",,"XAGUSD","H1","mean-reversion","9fcf621e","trades=18 below floor 20 (D3)","18","0","0","0","sv1-null"
"mean-reversion/XAGUSD/H4",,"XAGUSD","H4","mean-reversion","e3002b26","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"mean-reversion/XAUUSD/H1","73.3","XAUUSD","H1","mean-reversion","608c6f28",,"30","0.22157085982284233","0.00203668560738722","60","sv1-partial"
"mean-reversion/XAUUSD/H4",,"XAUUSD","H4","mean-reversion","55517f19","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"mtf-trend/AUDUSD/H1",,"AUDUSD","H1","mtf-trend","ed27b05d","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"mtf-trend/AUDUSD/H4",,"AUDUSD","H4","mtf-trend","bb427674","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"mtf-trend/BTCUSD/H1","47.1","BTCUSD","H1","mtf-trend","f3ca9b1c",,"40","-0.20301880573397227","0.0459129273926848","0","sv1-partial"
"mtf-trend/BTCUSD/H4",,"BTCUSD","H4","mtf-trend","774019f6","trades=16 below floor 20 (D3)","16","0","0","0","sv1-null"
"mtf-trend/ETHUSD/H1",,"ETHUSD","H1","mtf-trend","0ae46423","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"mtf-trend/ETHUSD/H4",,"ETHUSD","H4","mtf-trend","930db209","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"mtf-trend/EURGBP/H1",,"EURGBP","H1","mtf-trend","4df92dbd","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"mtf-trend/EURGBP/H4",,"EURGBP","H4","mtf-trend","55b71dfa","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"mtf-trend/EURJPY/H1","87.6","EURJPY","H1","mtf-trend","2f08712c",,"31","0.3866619255544432","0.0135855326896979","75","sv1-partial"
"mtf-trend/EURJPY/H4",,"EURJPY","H4","mtf-trend","a132b3bd","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"mtf-trend/EURUSD/H1",,"EURUSD","H1","mtf-trend","ae5dec98","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"mtf-trend/EURUSD/H4","52.9","EURUSD","H4","mtf-trend","f258c2c1",,"20","-0.21846966472862167","0.0254760051022129","33.33333333333333","sv1-partial"
"mtf-trend/GBPJPY/H1",,"GBPJPY","H1","mtf-trend","eb5d0345","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"mtf-trend/GBPJPY/H4",,"GBPJPY","H4","mtf-trend","5fa14a34","trades=15 below floor 20 (D3)","15","0","0","0","sv1-null"
"mtf-trend/GBPUSD/H1",,"GBPUSD","H1","mtf-trend","8559242a","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"mtf-trend/GBPUSD/H4",,"GBPUSD","H4","mtf-trend","d4877d2b","trades=19 below floor 20 (D3)","19","0","0","0","sv1-null"
"mtf-trend/NZDUSD/H1",,"NZDUSD","H1","mtf-trend","2ad85705","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"mtf-trend/NZDUSD/H4",,"NZDUSD","H4","mtf-trend","aaf96344","trades=8 below floor 20 (D3)","8","0","0","0","sv1-null"
"mtf-trend/USDCAD/H1",,"USDCAD","H1","mtf-trend","ef2cee5c","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"mtf-trend/USDCAD/H4",,"USDCAD","H4","mtf-trend","e5e316b2","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"mtf-trend/USDCHF/H1",,"USDCHF","H1","mtf-trend","433650a5","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"mtf-trend/USDCHF/H4",,"USDCHF","H4","mtf-trend","1ef0b169","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"mtf-trend/USDJPY/H1",,"USDJPY","H1","mtf-trend","98ed77cc","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"mtf-trend/USDJPY/H4","71","USDJPY","H4","mtf-trend","18701cc4",,"27","0.19688267890448946","0.0017670162132452","57.14285714285714","sv1-partial"
"mtf-trend/XAGUSD/H1",,"XAGUSD","H1","mtf-trend","e6dbc12d","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"mtf-trend/XAGUSD/H4",,"XAGUSD","H4","mtf-trend","3533a459","trades=15 below floor 20 (D3)","15","0","0","0","sv1-null"
"mtf-trend/XAUUSD/H1",,"XAUUSD","H1","mtf-trend","1a15cef5","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"mtf-trend/XAUUSD/H4",,"XAUUSD","H4","mtf-trend","0031cb7c","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"rsi-divergence/AUDUSD/H1","92","AUDUSD","H1","rsi-divergence","9c94189b",,"47","0.6422303448931094","0.0193562557155543","54.54545454545454","sv1-partial"
"rsi-divergence/AUDUSD/H4",,"AUDUSD","H4","rsi-divergence","b5fb744b","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"rsi-divergence/BTCUSD/H1","80.8","BTCUSD","H1","rsi-divergence","15148cae",,"56","0.31084879147362054","0.00587836651461733","66.66666666666666","sv1-partial"
"rsi-divergence/BTCUSD/H4",,"BTCUSD","H4","rsi-divergence","302f22ca","trades=8 below floor 20 (D3)","8","0","0","0","sv1-null"
